UID	common_name
NCBIGENE:4437	MSH3
NCBIGENE:4439	MSH5
NCBIGENE:5318	PKP2
NCBIGENE:6427	SRSF2
NCBIGENE:6611	SMS
NCBIGENE:5317	PKP1
NCBIGENE:640	BLK
NCBIGENE:55904	KMT2E
NCBIGENE:8085	KMT2D
NCBIGENE:641	BLM
NCBIGENE:3753	KCNE1
NCBIGENE:9992	KCNE2
NCBIGENE:10008	KCNE3
NCBIGENE:4297	KMT2A
NCBIGENE:7381	UQCRB
NCBIGENE:58508	KMT2C
NCBIGENE:55906	ZC4H2
NCBIGENE:23630	KCNE5
NCBIGENE:5908	RAP1B
NCBIGENE:125336	LOXHD1
NCBIGENE:5906	RAP1A
NCBIGENE:11154	AP4S1
NCBIGENE:2531	KDSR
NCBIGENE:2892	GRIA3
NCBIGENE:284086	NEK8
NCBIGENE:91754	NEK9
NCBIGENE:7390	UROS
NCBIGENE:81545	FBXO38
NCBIGENE:3350	HTR1A
NCBIGENE:8625	RFXANK
NCBIGENE:79791	FBXO31
NCBIGENE:8419	BFSP2
NCBIGENE:631	BFSP1
NCBIGENE:92579	G6PC3
NCBIGENE:6651	SON
NCBIGENE:27089	UQCRQ
NCBIGENE:121340	SP7
NCBIGENE:55505	NOP10
NCBIGENE:131405	TRIM71
NCBIGENE:212	ALAS2
NCBIGENE:51305	KCNK9
NCBIGENE:8291	DYSF
NCBIGENE:5728	PTEN
NCBIGENE:1889	ECE1
NCBIGENE:2108	ETFA
NCBIGENE:2109	ETFB
NCBIGENE:23299	BICD2
NCBIGENE:9210	BMP15
NCBIGENE:9179	AP4M1
NCBIGENE:285175	UNC80
NCBIGENE:57670	KIAA1549
NCBIGENE:6697	SPR
NCBIGENE:579	NKX3-2
NCBIGENE:4477	MSMB
NCBIGENE:204219	CERS3
NCBIGENE:146862	UNC45B
NCBIGENE:2895	GRID2
NCBIGENE:153201	SLC36A2
NCBIGENE:8635	RNASET2
NCBIGENE:54832	VPS13C
NCBIGENE:23230	VPS13A
NCBIGENE:157680	VPS13B
NCBIGENE:7133	TNFRSF1B
NCBIGENE:7132	TNFRSF1A
NCBIGENE:5095	PCCA
NCBIGENE:5096	PCCB
NCBIGENE:189	AGXT
NCBIGENE:10715	CERS1
NCBIGENE:124583	CANT1
NCBIGENE:716	C1S
NCBIGENE:715	C1R
NCBIGENE:6714	SRC
NCBIGENE:57194	ATP10A
NCBIGENE:3561	IL2RG
NCBIGENE:4300	MLLT3
NCBIGENE:10892	MALT1
NCBIGENE:200894	ARL13B
NCBIGENE:889	KRIT1
NCBIGENE:7809	BSND
NCBIGENE:6736	SRY
NCBIGENE:128338	DRAM2
NCBIGENE:3758	KCNJ1
NCBIGENE:3759	KCNJ2
NCBIGENE:54765	TRIM44
NCBIGENE:29978	UBQLN2
NCBIGENE:10528	NOP56
NCBIGENE:3762	KCNJ5
NCBIGENE:3763	KCNJ6
NCBIGENE:27238	GPKOW
NCBIGENE:3764	KCNJ8
NCBIGENE:7555	CNBP
NCBIGENE:6653	SORL1
NCBIGENE:80114	BICC1
NCBIGENE:25977	NECAP1
NCBIGENE:131669	UROC1
NCBIGENE:3559	IL2RA
NCBIGENE:3560	IL2RB
NCBIGENE:4591	TRIM37
NCBIGENE:5133	PDCD1
NCBIGENE:22954	TRIM32
NCBIGENE:51592	TRIM33
NCBIGENE:3777	KCNK3
NCBIGENE:10320	IKZF1
NCBIGENE:22806	IKZF3
NCBIGENE:55213	RCBTB1
NCBIGENE:55670	PEX26
NCBIGENE:721	C4B
NCBIGENE:720	C4A
NCBIGENE:412	STS
NCBIGENE:345643	MCIDAS
NCBIGENE:10155	TRIM28
NCBIGENE:8805	TRIM24
NCBIGENE:3791	KDR
NCBIGENE:8600	TNFSF11
NCBIGENE:5987	TRIM27
NCBIGENE:25793	FBXO7
NCBIGENE:8626	TP63
NCBIGENE:115761	ARL11
NCBIGENE:617	BCS1L
NCBIGENE:686	BTD
NCBIGENE:3784	KCNQ1
NCBIGENE:3785	KCNQ2
NCBIGENE:695	BTK
NCBIGENE:3786	KCNQ3
NCBIGENE:9132	KCNQ4
NCBIGENE:56479	KCNQ5
NCBIGENE:54453	RIN2
NCBIGENE:7157	TP53
NCBIGENE:1071	CETP
NCBIGENE:375298	CERKL
NCBIGENE:57505	AARS2
NCBIGENE:7039	TGFA
NCBIGENE:146057	TTBK2
NCBIGENE:5314	PKHD1
NCBIGENE:4158	MC2R
NCBIGENE:6237	RRAS
NCBIGENE:4758	NEU1
NCBIGENE:2583	B4GALNT1
NCBIGENE:348	APOE
NCBIGENE:3782	KCNN3
NCBIGENE:338	APOB
NCBIGENE:3783	KCNN4
NCBIGENE:5105	PCK1
NCBIGENE:5106	PCK2
NCBIGENE:583	BBS2
NCBIGENE:22854	NTNG1
NCBIGENE:582	BBS1
NCBIGENE:4481	MSR1
NCBIGENE:9966	TNFSF15
NCBIGENE:23483	TGDS
NCBIGENE:8742	TNFSF12
NCBIGENE:6555	SLC10A2
NCBIGENE:3481	IGF2
NCBIGENE:23218	NBEAL2
NCBIGENE:3479	IGF1
NCBIGENE:23438	HARS2
NCBIGENE:23389	MED13L
NCBIGENE:5422	POLA1
NCBIGENE:284184	NDUFAF8
NCBIGENE:4157	MC1R
NCBIGENE:137682	NDUFAF6
NCBIGENE:29078	NDUFAF4
NCBIGENE:79133	NDUFAF5
NCBIGENE:55280	CWF19L1
NCBIGENE:91942	NDUFAF2
NCBIGENE:25915	NDUFAF3
NCBIGENE:51103	NDUFAF1
NCBIGENE:10750	GRAP
NCBIGENE:26235	FBXL4
NCBIGENE:7161	TP73
NCBIGENE:3507	IGHM
NCBIGENE:200162	SPAG17
NCBIGENE:1349	COX7B
NCBIGENE:1893	ECM1
NCBIGENE:51021	MRPS16
NCBIGENE:2660	MSTN
NCBIGENE:23431	AP4E1
NCBIGENE:2898	GRIK2
NCBIGENE:732	C8B
NCBIGENE:51106	TFB1M
NCBIGENE:731	C8A
NCBIGENE:3795	KHK
NCBIGENE:4160	MC4R
NCBIGENE:5530	PPP3CA
NCBIGENE:5108	PCM1
NCBIGENE:57582	KCNT1
NCBIGENE:733	C8G
NCBIGENE:27445	PCLO
NCBIGENE:51684	SUFU
NCBIGENE:5880	RAC2
NCBIGENE:27241	BBS9
NCBIGENE:26227	PHGDH
NCBIGENE:5879	RAC1
NCBIGENE:55212	BBS7
NCBIGENE:129880	BBS5
NCBIGENE:585	BBS4
NCBIGENE:1351	COX8A
NCBIGENE:91647	ATPAF2
NCBIGENE:5130	PCYT1A
NCBIGENE:56945	MRPS22
NCBIGENE:4485	MST1
NCBIGENE:6855	SYP
NCBIGENE:353	APRT
NCBIGENE:22866	CNKSR2
NCBIGENE:4159	MC3R
NCBIGENE:23229	ARHGEF9
NCBIGENE:83394	PITPNM3
NCBIGENE:3815	KIT
NCBIGENE:10367	MICU1
NCBIGENE:55857	KIZ
NCBIGENE:9459	ARHGEF6
NCBIGENE:64756	ATPAF1
NCBIGENE:191	AHCY
NCBIGENE:5111	PCNA
NCBIGENE:166336	PRICKLE2
NCBIGENE:91624	NEXN
NCBIGENE:144165	PRICKLE1
NCBIGENE:9377	COX5A
NCBIGENE:84464	SLX4
NCBIGENE:3514	IGKC
NCBIGENE:4487	MSX1
NCBIGENE:5116	PCNT
NCBIGENE:9409	PEX16
NCBIGENE:1778	DYNC1H1
NCBIGENE:4214	MAP3K1
NCBIGENE:5824	PEX19
NCBIGENE:2571	GAD1
NCBIGENE:26249	KLHL3
NCBIGENE:5192	PEX10
NCBIGENE:5193	PEX12
NCBIGENE:5194	PEX13
NCBIGENE:54840	APTX
NCBIGENE:5195	PEX14
NCBIGENE:2902	GRIN1
NCBIGENE:94137	RP1L1
NCBIGENE:55958	KLHL9
NCBIGENE:6016	RIT1
NCBIGENE:55975	KLHL7
NCBIGENE:10460	TACC3
NCBIGENE:152110	NEK10
NCBIGENE:6867	TACC1
NCBIGENE:10046	MAMLD1
NCBIGENE:56978	PRDM8
NCBIGENE:51204	TACO1
NCBIGENE:93166	PRDM6
NCBIGENE:11107	PRDM5
NCBIGENE:3636	INPPL1
NCBIGENE:5327	PLAT
NCBIGENE:2113	ETS1
NCBIGENE:25828	TXN2
NCBIGENE:3480	IGF1R
NCBIGENE:7051	TGM1
NCBIGENE:23426	GRIP1
NCBIGENE:347344	ZNF81
NCBIGENE:79158	GNPTAB
NCBIGENE:5328	PLAU
NCBIGENE:23262	PPIP5K2
NCBIGENE:5167	ENPP1
NCBIGENE:343641	TGM6
NCBIGENE:9333	TGM5
NCBIGENE:5897	RAG2
NCBIGENE:7053	TGM3
NCBIGENE:5896	RAG1
NCBIGENE:6690	SPINK1
NCBIGENE:4488	MSX2
NCBIGENE:23291	FBXW11
NCBIGENE:11005	SPINK5
NCBIGENE:102	ADAM10
NCBIGENE:374407	DNAJB13
NCBIGENE:6391	SDHC
NCBIGENE:6392	SDHD
NCBIGENE:57217	TTC7A
NCBIGENE:6389	SDHA
NCBIGENE:6390	SDHB
NCBIGENE:79947	DHDDS
NCBIGENE:6868	ADAM17
NCBIGENE:7305	TYROBP
NCBIGENE:11232	POLG2
NCBIGENE:342618	SLFN14
NCBIGENE:9373	PLAA
NCBIGENE:5894	RAF1
NCBIGENE:79092	CARD14
NCBIGENE:84433	CARD11
NCBIGENE:4716	NDUFB10
NCBIGENE:1355	COX15
NCBIGENE:54539	NDUFB11
NCBIGENE:79876	UBA5
NCBIGENE:5654	HTRA1
NCBIGENE:27429	HTRA2
NCBIGENE:23279	NUP160
NCBIGENE:92609	TIMM50
NCBIGENE:6011	GRK1
NCBIGENE:10743	RAI1
NCBIGENE:169522	KCNV2
NCBIGENE:246243	RNASEH1
NCBIGENE:26281	FGF20
NCBIGENE:26525	IL36RN
NCBIGENE:84987	COX14
NCBIGENE:10464	PIBF1
NCBIGENE:8074	FGF23
NCBIGENE:1352	COX10
NCBIGENE:727857	BHLHA9
NCBIGENE:9631	NUP155
NCBIGENE:26053	AUTS2
NCBIGENE:400916	CHCHD10
NCBIGENE:79650	USB1
NCBIGENE:10717	AP4B1
NCBIGENE:8822	FGF17
NCBIGENE:8823	FGF16
NCBIGENE:54806	AHI1
NCBIGENE:2259	FGF14
NCBIGENE:57654	UVSSA
NCBIGENE:1272	CNTN1
NCBIGENE:11020	IFT27
NCBIGENE:6900	CNTN2
NCBIGENE:7681	MKRN3
NCBIGENE:7317	UBA1
NCBIGENE:2257	FGF12
NCBIGENE:116228	COX20
NCBIGENE:2255	FGF10
NCBIGENE:83538	TTC25
NCBIGENE:84225	ZMYND15
NCBIGENE:6898	TAT
NCBIGENE:7128	TNFAIP3
NCBIGENE:83894	TTC29
NCBIGENE:6901	TAZ
NCBIGENE:114803	MYSM1
NCBIGENE:84823	LMNB2
NCBIGENE:2911	GRM1
NCBIGENE:4001	LMNB1
NCBIGENE:51098	IFT52
NCBIGENE:79443	FYCO1
NCBIGENE:56603	CYP26B1
NCBIGENE:7546	ZIC2
NCBIGENE:760	CA2
NCBIGENE:2916	GRM6
NCBIGENE:7547	ZIC3
NCBIGENE:762	CA4
NCBIGENE:7545	ZIC1
NCBIGENE:767	CA8
NCBIGENE:55081	IFT57
NCBIGENE:9652	TTC37
NCBIGENE:8195	MKKS
NCBIGENE:6908	TBP
NCBIGENE:55746	NUP133
NCBIGENE:790	CAD
NCBIGENE:10159	ATP6AP2
NCBIGENE:2115	ETV1
NCBIGENE:2118	ETV4
NCBIGENE:57477	SHROOM4
NCBIGENE:140732	SUN5
NCBIGENE:2120	ETV6
NCBIGENE:340665	CYP26C1
NCBIGENE:112752	IFT43
NCBIGENE:51	ACOX1
NCBIGENE:2000	ELF4
NCBIGENE:847	CAT
NCBIGENE:51364	ZMYND10
NCBIGENE:10771	ZMYND11
NCBIGENE:85358	SHANK3
NCBIGENE:22941	SHANK2
NCBIGENE:5339	PLEC
NCBIGENE:2592	GALT
NCBIGENE:6519	SLC3A1
NCBIGENE:692218	SNORD115@
NCBIGENE:867	CBL
NCBIGENE:22978	NT5C2
NCBIGENE:875	CBS
NCBIGENE:50945	TBX22
NCBIGENE:5019	OXCT1
NCBIGENE:5424	POLD1
NCBIGENE:57057	TBX20
NCBIGENE:1678	TIMM8A
NCBIGENE:80270	HSD3B7
NCBIGENE:54970	TTC12
NCBIGENE:3284	HSD3B2
NCBIGENE:84107	ZIC4
NCBIGENE:692236	SNORD116@
NCBIGENE:205717	USF3
NCBIGENE:6821	SUOX
NCBIGENE:9095	TBX19
NCBIGENE:54902	TTC19
NCBIGENE:55249	YY1AP1
NCBIGENE:55997	CFC1
NCBIGENE:10352	WARS2
NCBIGENE:2581	GALC
NCBIGENE:6913	TBX15
NCBIGENE:611	OPN1SW
NCBIGENE:2582	GALE
NCBIGENE:2071	ERCC3
NCBIGENE:10318	TNIP1
NCBIGENE:2072	ERCC4
NCBIGENE:1294	COL7A1
NCBIGENE:2067	ERCC1
NCBIGENE:2068	ERCC2
NCBIGENE:1757	SARDH
NCBIGENE:1161	ERCC8
NCBIGENE:2073	ERCC5
NCBIGENE:130589	GALM
NCBIGENE:2074	ERCC6
NCBIGENE:23171	GPD1L
NCBIGENE:7010	TEK
NCBIGENE:5644	PRSS1
NCBIGENE:9758	FRMPD4
NCBIGENE:7456	WIPF1
NCBIGENE:6521	SLC4A1
NCBIGENE:9126	SMC3
NCBIGENE:8671	SLC4A4
NCBIGENE:2697	GJA1
NCBIGENE:10342	TFG
NCBIGENE:2700	GJA3
NCBIGENE:11280	SCN11A
NCBIGENE:57178	ZMIZ1
NCBIGENE:2702	GJA5
NCBIGENE:55737	VPS35
NCBIGENE:2703	GJA8
NCBIGENE:5645	PRSS2
NCBIGENE:2593	GAMT
NCBIGENE:5582	PRKCG
NCBIGENE:8021	NUP214
NCBIGENE:352909	DNAAF3
NCBIGENE:55172	DNAAF2
NCBIGENE:123872	DNAAF1
NCBIGENE:5580	PRKCD
NCBIGENE:80210	ARMC9
NCBIGENE:256764	WDR72
NCBIGENE:54919	DNAAF5
NCBIGENE:1056	CEL
NCBIGENE:84942	WDR73
NCBIGENE:90417	KNSTRN
NCBIGENE:3054	HCFC1
NCBIGENE:9688	NUP93
NCBIGENE:84071	ARMC2
NCBIGENE:4507	MTAP
NCBIGENE:6336	SCN10A
NCBIGENE:124997	WDR81
NCBIGENE:79798	ARMC5
NCBIGENE:3145	HMBS
NCBIGENE:55130	ARMC4
NCBIGENE:80222	TARS2
NCBIGENE:5587	PRKD1
NCBIGENE:158326	FREM1
NCBIGENE:629	CFB
NCBIGENE:341640	FREM2
NCBIGENE:1675	CFD
NCBIGENE:387787	LIPT2
NCBIGENE:51601	LIPT1
NCBIGENE:23165	NUP205
NCBIGENE:3075	CFH
NCBIGENE:5591	PRKDC
NCBIGENE:3426	CFI
NCBIGENE:8915	BCL10
NCBIGENE:59335	PRDM12
NCBIGENE:284403	WDR62
NCBIGENE:5199	CFP
NCBIGENE:144406	WDR66
NCBIGENE:406987	MIR204
NCBIGENE:26258	BLOC1S6
NCBIGENE:23385	NCSTN
NCBIGENE:57165	GJC2
NCBIGENE:79902	NUP85
NCBIGENE:388552	BLOC1S3
NCBIGENE:63976	PRDM16
NCBIGENE:55823	VPS11
NCBIGENE:8869	ST3GAL5
NCBIGENE:4927	NUP88
NCBIGENE:3117	HLA-DQA1
NCBIGENE:6487	ST3GAL3
NCBIGENE:10733	PLK4
NCBIGENE:9455	HOMER2
NCBIGENE:11281	POU6F2
NCBIGENE:2706	GJB2
NCBIGENE:2705	GJB1
NCBIGENE:127534	GJB4
NCBIGENE:23568	ARL2BP
NCBIGENE:2707	GJB3
NCBIGENE:55112	WDR60
NCBIGENE:10804	GJB6
NCBIGENE:54903	MKS1
NCBIGENE:9569	GTF2IRD1
NCBIGENE:1028	CDKN1C
NCBIGENE:55209	SETD5
NCBIGENE:1026	CDKN1A
NCBIGENE:4338	MOCS2
NCBIGENE:29072	SETD2
NCBIGENE:57599	WDR48
NCBIGENE:1027	CDKN1B
NCBIGENE:1121	CHM
NCBIGENE:11152	WDR45
NCBIGENE:1130	LYST
NCBIGENE:92949	ADAMTSL1
NCBIGENE:64135	IFIH1
NCBIGENE:84693	MCEE
NCBIGENE:54507	ADAMTSL4
NCBIGENE:5917	RARS
NCBIGENE:9719	ADAMTSL2
NCBIGENE:7084	TK2
NCBIGENE:23152	CIC
NCBIGENE:128178	EDARADD
NCBIGENE:3070	HELLS
NCBIGENE:134430	WDR36
NCBIGENE:7167	TPI1
NCBIGENE:197	AHSG
NCBIGENE:89891	WDR34
NCBIGENE:57539	WDR35
NCBIGENE:84668	FAM126A
NCBIGENE:11113	CIT
NCBIGENE:83854	ANGPTL6
NCBIGENE:27329	ANGPTL3
NCBIGENE:5914	RARA
NCBIGENE:2619	GAS1
NCBIGENE:5915	RARB
NCBIGENE:2617	GARS
NCBIGENE:5346	PLIN1
NCBIGENE:7086	TKT
NCBIGENE:4337	MOCS1
NCBIGENE:2622	GAS8
NCBIGENE:3119	HLA-DQB1
NCBIGENE:4784	NFIX
NCBIGENE:80232	WDR26
NCBIGENE:9907	AP5Z1
NCBIGENE:58497	PRUNE1
NCBIGENE:107	ADCY1
NCBIGENE:112	ADCY6
NCBIGENE:9060	PAPSS2
NCBIGENE:2245	FGD1
NCBIGENE:111	ADCY5
NCBIGENE:121512	FGD4
NCBIGENE:6210	RPS15A
NCBIGENE:63910	SLC17A9
NCBIGENE:26503	SLC17A5
NCBIGENE:246213	SLC17A8
NCBIGENE:8542	APOL1
NCBIGENE:590	BCHE
NCBIGENE:1030	CDKN2B
NCBIGENE:345895	RSPH4A
NCBIGENE:1031	CDKN2C
NCBIGENE:57498	KIDINS220
NCBIGENE:1029	CDKN2A
NCBIGENE:25861	WHRN
NCBIGENE:27010	TPK1
NCBIGENE:3588	IL10RB
NCBIGENE:3587	IL10RA
NCBIGENE:57728	WDR19
NCBIGENE:55034	MOCOS
NCBIGENE:55717	WDR11
NCBIGENE:2628	GATM
NCBIGENE:28962	OSTM1
NCBIGENE:4774	NFIA
NCBIGENE:3543	IGLL1
NCBIGENE:203547	VMA21
NCBIGENE:5354	PLP1
NCBIGENE:79934	COQ8B
NCBIGENE:56997	COQ8A
NCBIGENE:4361	MRE11
NCBIGENE:56983	POGLUT1
NCBIGENE:3371	TNC
NCBIGENE:11315	PARK7
NCBIGENE:7124	TNF
NCBIGENE:2248	FGF3
NCBIGENE:80153	EDC3
NCBIGENE:2250	FGF5
NCBIGENE:5500	PPP1CB
NCBIGENE:22999	RIMS1
NCBIGENE:2253	FGF8
NCBIGENE:2254	FGF9
NCBIGENE:1073	CFL2
NCBIGENE:5358	PLS3
NCBIGENE:9215	LARGE1
NCBIGENE:2969	GTF2I
NCBIGENE:5357	PLS1
NCBIGENE:3455	IFNAR2
NCBIGENE:9101	USP8
NCBIGENE:5604	MAP2K1
NCBIGENE:7874	USP7
NCBIGENE:9098	USP6
NCBIGENE:85301	COL27A1
NCBIGENE:5605	MAP2K2
NCBIGENE:7171	TPM4
NCBIGENE:7170	TPM3
NCBIGENE:7169	TPM2
NCBIGENE:51066	SSUH2
NCBIGENE:7168	TPM1
NCBIGENE:253430	IPMK
NCBIGENE:1859	DYRK1A
NCBIGENE:9149	DYRK1B
NCBIGENE:11081	KERA
NCBIGENE:57187	THOC2
NCBIGENE:23592	LEMD3
NCBIGENE:221496	LEMD2
NCBIGENE:79228	THOC6
NCBIGENE:10913	EDAR
NCBIGENE:317662	FAM149B1
NCBIGENE:55830	GLT8D1
NCBIGENE:197131	UBR1
NCBIGENE:3827	KNG1
NCBIGENE:4534	MTM1
NCBIGENE:5000	ORC4
NCBIGENE:7173	TPO
NCBIGENE:23594	ORC6
NCBIGENE:4998	ORC1
NCBIGENE:7175	TPR
NCBIGENE:6607	SMN2
NCBIGENE:6606	SMN1
NCBIGENE:1813	DRD2
NCBIGENE:1814	DRD3
NCBIGENE:55215	FANCI
NCBIGENE:28958	COA3
NCBIGENE:157657	C8ORF37
NCBIGENE:57697	FANCM
NCBIGENE:55120	FANCL
NCBIGENE:9885	OSBPL2
NCBIGENE:2175	FANCA
NCBIGENE:83959	SLC4A11
NCBIGENE:2176	FANCC
NCBIGENE:2187	FANCB
NCBIGENE:2178	FANCE
NCBIGENE:2189	FANCG
NCBIGENE:2188	FANCF
NCBIGENE:84839	RAX2
NCBIGENE:1600	DAB1
NCBIGENE:604	BCL6
NCBIGENE:8867	SYNJ1
NCBIGENE:8022	LHX3
NCBIGENE:3975	LHX1
NCBIGENE:596	BCL2
NCBIGENE:7174	TPP2
NCBIGENE:1200	TPP1
NCBIGENE:89884	LHX4
NCBIGENE:92749	DRC1
NCBIGENE:9020	MAP3K14
NCBIGENE:27040	LAT
NCBIGENE:6955	TRA
NCBIGENE:659	BMPR2
NCBIGENE:84515	MCM8
NCBIGENE:6957	TRB
NCBIGENE:7373	COL14A1
NCBIGENE:254394	MCM9
NCBIGENE:6964	TRD
NCBIGENE:6965	TRG
NCBIGENE:55325	UFSP2
NCBIGENE:7200	TRH
NCBIGENE:163183	SYNE4
NCBIGENE:25821	MTO1
NCBIGENE:23224	SYNE2
NCBIGENE:23345	SYNE1
NCBIGENE:390594	KBTBD13
NCBIGENE:7056	THBD
NCBIGENE:7343	UBTF
NCBIGENE:221692	PHACTR1
NCBIGENE:84947	SERAC1
NCBIGENE:3930	LBR
NCBIGENE:388753	COA6
NCBIGENE:5592	PRKG1
NCBIGENE:23534	TNPO3
NCBIGENE:493753	COA5
NCBIGENE:286262	TPRN
NCBIGENE:1380	CR2
NCBIGENE:150468	CKAP2L
NCBIGENE:554	AVPR2
NCBIGENE:336	APOA2
NCBIGENE:335	APOA1
NCBIGENE:8243	SMC1A
NCBIGENE:116519	APOA5
NCBIGENE:5611	DNAJC3
NCBIGENE:9829	DNAJC6
NCBIGENE:3932	LCK
NCBIGENE:80331	DNAJC5
NCBIGENE:1392	CRH
NCBIGENE:4173	MCM4
NCBIGENE:4175	MCM6
NCBIGENE:3938	LCT
NCBIGENE:4171	MCM2
NCBIGENE:79755	ZNF750
NCBIGENE:9759	HDAC4
NCBIGENE:1050	CEBPA
NCBIGENE:23676	SMPX
NCBIGENE:1053	CEBPE
NCBIGENE:5324	PLAG1
NCBIGENE:9525	VPS4B
NCBIGENE:1406	CRX
NCBIGENE:5162	PDHB
NCBIGENE:64127	NOD2
NCBIGENE:7287	TULP1
NCBIGENE:55869	HDAC8
NCBIGENE:1690	COCH
NCBIGENE:10013	HDAC6
NCBIGENE:7273	TTN
NCBIGENE:3300	DNAJB2
NCBIGENE:3337	DNAJB1
NCBIGENE:9054	NFS1
NCBIGENE:267010	RNU12
NCBIGENE:7276	TTR
NCBIGENE:10049	DNAJB6
NCBIGENE:55275	VPS53
NCBIGENE:374969	SVBP
NCBIGENE:50615	IL21R
NCBIGENE:53630	BCO1
NCBIGENE:59344	ALOXE3
NCBIGENE:219736	STOX1
NCBIGENE:7275	TUB
NCBIGENE:7355	SLC35A2
NCBIGENE:10559	SLC35A1
NCBIGENE:92667	MGME1
NCBIGENE:57502	NLGN4X
